origFID	bottom	left	right	top	value	scalerank	admin	adm0_a3	region	area_sq_m	zoom_start
995	32.689781	74.249137	74.846412	34.533332	27119	1	India	IND	Asia	16385567311.5742	11
996	32.689781	74.846412	77.061599	34.533332	27120	1	India	IND	Asia	60771161853.7774	11
995	34.533332	50.507564	51.421508	35.694389	27121	1	Iran	IRN	Asia	16075755838.5078	11
995	34.533332	51.464603	52.593315	36.654201	27126	1	Iran	IRN	Asia	36484754299.1758	11
996	34.533332	52.593315	60.809234	36.654201	27127	1	Iran	IRN	Asia	265573313703.492	11
995	43.348518	50.507564	60.809234	47.099639	27129	1	Kazakhstan	KAZ	Asia	680246919096.482	11
995	47.099639	50.507564	55.109397	51.777256	27130	1	Kazakhstan	KAZ	Asia	410637254535.273	11
995	47.099639	55.109397	60.809234	51.777256	27131	1	Kazakhstan	KAZ	Asia	508615896530.477	11
995	51.777256	50.507564	55.150043	53.654975	27132	1	Russia	RUS	Europe	178363330297.555	11
995	51.777256	55.150043	56.476894	53.654975	27133	1	Russia	RUS	Europe	50977411673.5078	11
995	51.777256	56.476894	58.984714	53.654975	27134	1	Russia	RUS	Europe	96350059308.1484	11
996	51.777256	58.984714	60.809234	53.654975	27135	1	Russia	RUS	Asia	70097778233.25	11
995	53.654975	50.507564	52.388771	55.680133	27136	1	Russia	RUS	Europe	81654956928.8125	11
995	55.680133	50.507564	52.388771	56.473369	27137	1	Russia	RUS	Europe	33136171100.625	11
995	53.654975	52.388771	54.1949	55.747352	27138	1	Russia	RUS	Europe	81066831351.8047	11
995	55.747352	52.388771	54.1949	56.473369	27139	1	Russia	RUS	Europe	29143042030.9063	11
995	53.654975	54.1949	55.930019	54.726108	27140	1	Russia	RUS	Europe	39366053790.2734	11
995	54.726108	54.1949	55.931022	56.473369	27142	1	Russia	RUS	Europe	66549241158.3672	11
995	53.654975	56.128097	60.081741	56.473369	27147	1	Russia	RUS	Europe	241251098144.344	11
996	53.654975	60.081741	60.809234	56.473369	27148	1	Russia	RUS	Asia	44391575251.1562	11
995	56.473369	50.507564	53.183822	56.832256	27149	1	Russia	RUS	Europe	21651984238.8281	11
995	56.473369	53.752597	60.178298	56.832256	27151	1	Russia	RUS	Europe	51986458994.4141	11
995	34.533332	60.809234	69.166664	38.633735	27160	1	Afghanistan	AFG	Asia	529087059344.008	11
995	38.633735	60.809234	69.214233	43.221385	27162	1	Uzbekistan	UZB	Asia	632855449032.084	11
995	34.533332	69.260879	71.846878	40.9715	27164	1	Afghanistan	AFG	Asia	261242927831.98	11
995	41.314899	69.260879	71.239883	43.221385	27166	1	Kazakhstan	KAZ	Asia	63188943533.0938	11
996	41.314899	71.239883	71.846878	43.221385	27167	1	Kyrgyzstan	KGZ	Asia	19381149699.4844	11
995	34.533332	71.846878	77.061599	40.50072	27168	1	Tajikistan	TJK	Asia	486651968808.67	11
995	40.50072	71.846878	77.061599	42.822067	27169	1	Kyrgyzstan	KGZ	Asia	200825831226.094	11
995	42.890071	71.846878	74.584617	43.221385	27171	1	Kazakhstan	KAZ	Asia	15383060184.6797	11
995	43.221385	71.424247	73.07608	51.130126	27176	1	Kazakhstan	KAZ	Asia	238790716089.102	11
995	43.221385	73.07608	75.339439	49.783504	27177	1	Kazakhstan	KAZ	Asia	267863661422.812	11
995	49.783504	73.07608	75.339439	51.130126	27178	1	Kazakhstan	KAZ	Asia	59329896507.5	11
996	43.252342	75.339439	76.917625	51.130126	27181	1	Kazakhstan	KAZ	Asia	227313204970.32	11
996	43.28437	76.917625	77.061599	51.130126	27185	1	Kazakhstan	KAZ	Asia	20658745093.3047	11
995	51.130126	60.809234	61.402561	55.151329	27186	1	Russia	RUS	Asia	49335042922.3906	11
995	55.19202	60.809234	61.402561	56.556186	27190	1	Russia	RUS	Asia	17880744744.9766	11
995	51.130126	61.402561	63.133514	55.142139	27192	1	Kazakhstan	KAZ	Asia	143583517709.82	11
995	55.161293	61.402561	61.877494	56.832256	27194	1	Russia	RUS	Asia	17588417273.5313	11
996	55.161293	61.877494	63.133514	56.832256	27195	1	Russia	RUS	Asia	46514779692.9219	11
995	51.130126	63.133514	66.374153	55.439842	27196	1	Kazakhstan	KAZ	Asia	289808721308.781	11
995	55.439842	63.133514	66.374153	56.832256	27197	1	Russia	RUS	Asia	100362335830.922	11
995	51.130126	66.374153	71.413635	54.86079	27198	1	Kazakhstan	KAZ	Asia	387394074080.187	11
996	54.86079	66.374153	71.413635	56.832256	27199	1	Russia	RUS	Asia	219356637546.883	11
995	51.166889	71.413635	73.377662	54.957832	27201	1	Kazakhstan	KAZ	Asia	153660414669.758	11
995	51.130126	73.377662	77.061599	54.94701	27203	1	Kazakhstan	KAZ	Asia	290036824229.547	11
995	54.988605	71.413635	73.283721	56.832256	27206	1	Russia	RUS	Asia	76245951700.9766	11
996	54.988605	73.387634	77.061599	56.832256	27211	1	Russia	RUS	Asia	149792553893.82	11
995	56.832256	50.507564	53.180992	57.155662	27212	1	Russia	RUS	Europe	19669033950.1719	11
995	56.832256	53.289031	59.818748	57.155662	27217	1	Russia	RUS	Europe	48040652435	11
995	56.832256	60.6991	63.291919	57.155662	27225	1	Russia	RUS	Asia	19075974717.7109	11
995	56.832256	63.291919	65.527809	57.155662	27226	1	Russia	RUS	Asia	16449964733.9844	11
996	56.832256	65.588058	77.061599	57.155662	27231	1	Russia	RUS	Asia	84413519817.1172	11
995	57.155662	50.507564	55.951881	58.009471	27232	1	Russia	RUS	Europe	107457794036.281	11
996	57.155662	56.946666	59.960433	58.009471	27241	1	Russia	RUS	Europe	59484551241.1094	11
995	57.155662	60.043899	65.348739	58.009471	27243	1	Russia	RUS	Asia	104704851704.164	11
996	57.155662	65.543037	77.061599	58.009471	27245	1	Russia	RUS	Asia	227348859919.461	11
995	58.009471	50.507564	56.078842	59.007701	27246	1	Russia	RUS	Europe	131942211089.531	11
996	58.009471	56.421188	77.061599	59.007701	27253	1	Russia	RUS	Asia	488818088980.047	11
995	59.007701	50.507564	56.822387	61.26448	27254	1	Russia	RUS	Europe	354823800090.211	11
995	59.007701	56.822387	61.931598	61.26448	27255	1	Russia	RUS	Asia	287081627225.773	11
995	59.007701	61.931598	72.792716	61.26448	27256	1	Russia	RUS	Asia	610275721423.727	11
995	59.007701	72.792716	73.384841	61.26448	27257	1	Russia	RUS	Asia	33270931367.1211	11
996	59.007701	73.451667	77.061599	61.26448	27260	1	Russia	RUS	Asia	202838589507.152	11
995	61.26448	50.507564	73.287902	61.667198	27261	1	Russia	RUS	Asia	237996793394.258	11
996	61.26448	73.38153	77.061599	61.667198	27264	1	Russia	RUS	Asia	38447393601.875	11
995	61.667198	50.507564	50.822334	63.567638	27265	1	Russia	RUS	Europe	16123774457.7266	11
995	25.103172	77.361511	79.414451	27.184719	27281	1	India	IND	Asia	58994831691.0703	11
995	27.184719	77.361511	79.414451	27.905834	27282	1	India	IND	Asia	20690812069.8164	11
995	27.905834	77.507301	79.414451	28.566547	27284	1	India	IND	Asia	17724159499.4258	11
995	25.103172	79.414451	81.004051	26.768749	27285	1	India	IND	Asia	36485551615.5352	11
996	26.874135	79.414451	81.004051	28.566547	27288	1	India	IND	Asia	37662181562.1094	11
995	28.566547	77.702102	81.004051	30.125865	27292	1	India	IND	Asia	73200677004.5938	11
996	30.125865	77.702102	81.004051	31.907917	27293	1	India	IND	Asia	85089247001.5547	11
995	25.475938	81.004051	82.471206	28.211149	27295	1	India	IND	Asia	55742767628.25	11
995	25.103172	82.471206	84.719444	25.993085	27296	1	India	IND	Asia	27480495651.3984	11
995	25.993085	82.471206	84.719444	28.211149	27297	1	India	IND	Asia	69424775534.5	11
995	28.211149	81.004051	81.726852	30.303159	27298	1	Nepal	NPL	Asia	21479843746.1328	11
995	30.303159	81.004051	81.726852	31.907917	27299	1	China	CHN	Asia	16788477951.1855	11
995	28.211149	81.726852	84.719444	30.303159	27300	1	Nepal	NPL	Asia	88932373579.8867	11
996	30.303159	81.726852	84.719444	31.907917	27301	1	China	CHN	Asia	69508847952.4961	11
995	25.103172	84.719444	85.330932	27.676713	27302	1	India	IND	Asia	21772576992.7266	11
996	25.103172	85.494079	91.121505	27.700729	27305	1	India	IND	Asia	202260883213.125	11
995	27.705997	84.719444	85.325233	31.907917	27307	1	China	CHN	Asia	36366433996.4668	11
996	27.700729	85.36518	91.121505	31.907917	27309	1	China	CHN	Asia	345985369185.289	11
995	25.103172	91.121505	94.227935	31.907917	27310	1	China	CHN	Asia	298364033172.131	11
995	25.103172	94.227935	100.233886	31.907917	27311	1	China	CHN	Asia	576855027602.156	11
995	25.103172	100.233886	103.972404	30.581584	27312	1	China	CHN	Asia	287201334444.424	11
995	30.581584	100.233886	103.972404	31.907917	27313	1	China	CHN	Asia	71873007667.4609	11
995	25.103172	104.067222	106.259269	30.506738	27315	1	China	CHN	Asia	166037280881.857	11
996	30.659275	104.415817	106.259269	31.907917	27320	1	China	CHN	Asia	33378008273.8281	11
995	25.103172	106.259269	106.732841	29.455381	27321	1	China	CHN	Asia	28747655413.3125	11
996	29.591215	106.259269	106.732841	31.907917	27326	1	China	CHN	Asia	15821534444.3672	11
995	25.103172	106.732841	110.284523	27.115886	27327	1	China	CHN	Asia	98659144166.2559	11
995	25.103172	110.284523	112.929397	27.115886	27328	1	China	CHN	Asia	73469698376.0156	11
995	27.115886	106.732841	111.30088	31.907917	27329	1	China	CHN	Asia	311855887965.039	11
996	27.115886	111.30088	112.929397	31.907917	27330	1	China	CHN	Asia	111177381607.547	11
995	25.103172	112.929397	114.155097	28.133049	27331	1	China	CHN	Asia	51485386431.9609	11
996	28.199136	112.929397	114.155097	31.907917	27334	1	China	CHN	Asia	65101095958.5156	11
995	25.103172	114.155097	117.797004	28.665899	27335	1	China	CHN	Asia	180315920848.711	11
995	25.103172	117.797004	119.29039	28.665899	27336	1	China	CHN	Asia	73939634310.4297	11
