origFID	bottom	left	right	top	value	scalerank	admin	adm0_a3	region	area_sq_m	zoom_start
13977	41.044136	-72.360076	-72.241592	41.176315	996	0			North America	257580314.234375	15
13978	40.857471	-72.241592	-72.188362	40.972339	995	0			North America	100267089.679688	15
13979	40.857471	-72.188362	-72.047241	40.972339	995	0			North America	265823632.578125	15
13980	40.972339	-72.241592	-72.047241	40.997062	995	1	United States of America	USA	North America	78876881.828125	15
13982	40.857471	-72.047241	-71.942657	41.033668	995	0			North America	302321088.679688	15
13983	41.033668	-72.047241	-71.942657	41.176315	995	0			North America	245348728.507812	15
13984	40.857471	-71.942657	-71.914184	41.176315	995	0			North America	149103139.148438	15
13986	41.176315	-73.297424	-73.160079	41.193645	15922	1	United States of America	USA	North America	39191944.273438	15
13987	41.193645	-73.297424	-73.160079	41.220478	7961	1	United States of America	USA	North America	60703535.757812	15
13988	41.220478	-73.297424	-73.222473	41.338287	3981	1	United States of America	USA	North America	145602428.492188	15
13989	41.220478	-73.222473	-73.160079	41.338287	3981	1	United States of America	USA	North America	121208762.023438	15
13990	41.176315	-73.160079	-73.082412	41.338287	15923	1	United States of America	USA	North America	207368356.914062	15
13991	41.176315	-73.082412	-72.977157	41.244102	7961	0			North America	117528176	15
13992	41.244102	-73.082412	-72.977157	41.338287	7962	1	United States of America	USA	North America	163499241.15625	15
13993	41.176315	-72.977157	-72.912017	41.338287	31845	0			North America	173921675.476562	15
13994	41.176315	-72.912017	-72.845184	41.296142	3980	0			North America	131968848.4375	15
13995	41.176315	-72.845184	-72.788452	41.296142	3981	0			North America	112023352.367188	15
13996	41.296142	-72.912017	-72.788452	41.338287	7962	1	United States of America	USA	North America	85922319.171875	15
13997	41.176315	-72.788452	-72.771759	41.292156	995	0			North America	31864655.039062	15
13998	41.176315	-72.771759	-72.67012	41.292156	995	0			North America	194014956.796875	15
13999	41.292156	-72.788452	-72.67012	41.338287	1990	1	United States of America	USA	North America	90062968.804688	15
14000	41.176315	-72.67012	-72.527153	41.287712	995	0			North America	262426116.382812	15
14001	41.287712	-72.67012	-72.527153	41.338287	995	1	United States of America	USA	North America	119291110.804688	15
14002	41.176315	-72.527153	-72.371986	41.286655	995	0			North America	282115263.132812	15
14003	41.286655	-72.527153	-72.371986	41.338287	996	1	United States of America	USA	North America	132175566.15625	15
14004	41.176315	-72.371986	-72.22087	41.314151	995	0			North America	343288137.898438	15
14005	41.314151	-72.371986	-72.22087	41.338287	995	1	United States of America	USA	North America	60186653.507812	15
14006	41.176315	-72.22087	-72.100723	41.322383	995	0			North America	289255143.882812	15
14007	41.322383	-72.22087	-72.100723	41.338287	996	1	United States of America	USA	North America	31533427.570312	15
14008	41.176315	-72.100723	-72.06565	41.338287	995	0			North America	93643766.109375	15
14010	41.176315	-71.858146	-71.808479	41.338287	995	0			North America	132609270.125	15
14012	41.338287	-73.297424	-73.162025	41.43114	1990	1	United States of America	USA	North America	207647277.03125	15
14013	41.43114	-73.297424	-73.162025	41.524402	1990	1	United States of America	USA	North America	208861105.523438	15
14014	41.338287	-73.162025	-73.094573	41.524402	3981	1	United States of America	USA	North America	207492842.789062	15
14015	41.338287	-73.094573	-73.050849	41.524402	7961	1	United States of America	USA	North America	134501824.390625	15
14016	41.338287	-73.050849	-72.927742	41.351528	7961	1	United States of America	USA	North America	26906213.367188	15
14017	41.351528	-73.050849	-72.927742	41.415035	3981	1	United States of America	USA	North America	129124769.921875	15
